id_tableau,titre_tableau,source,code,produit,quantité,unité,2017,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21212030,Vin blanc Martini importé,75,Centilitre(s),26886,29708
12.02,Prix moyen à la consommation des ménages,ISTEEBU,213,Biere,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,2131,Bière,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21311010,Amstel blonde(65cl) local,65,Centilitre(s),1837,1866
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21311020,Amstel Bock(33cl) local,33,Centilitre(s),1295,1290
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21312010,Primus(72cl) local,72,Centilitre(s),1427,1529
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21313010,Heineken (65cl) importé,65,Centilitre(s),4594,5273
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21313020,Heineken (33cl) importé,33,Centilitre(s),3479,3600
12.02,Prix moyen à la consommation des ménages,ISTEEBU,21314010,Bière de sorgho local,75,Centilitre(s),643,463
12.02,Prix moyen à la consommation des ménages,ISTEEBU,22,Tabacs,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,221,Tabacs,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,2211,Tabac,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,22111010,Supermatch local,1,cigarettes,103,105
12.02,Prix moyen à la consommation des ménages,ISTEEBU,22111020,Yes local,1,cigarette,102,119
12.02,Prix moyen à la consommation des ménages,ISTEEBU,22112010,Feuilles de tabac (turumbombeke),100,Gr,1111,1234
12.02,Prix moyen à la consommation des ménages,ISTEEBU,3,ARTICLES D'HABILLEMENT ET CHAUSSURES,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31,Articles d'habillement,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,311,Tissus d'habillement,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,3111,Tissus d'habillement,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31111010,Popeline (1ère qualité),1,mètre,2439,2686
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31111020,Tissus pour costume,1,mètre,12026,13466
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31111030,Tissus pour uniforme scolaire,1,mètre,8126,8989
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31112010,Ikanga,4,"","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31112020,Igitenge Demi hollandais,6,yards,32718,34535
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31112030,Igitenge AFRITEX,6,yards,16701,18577
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31113010,Basin moins riche,6,yards,53610,53843
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31113020,Voile en nylon importé (Imvutano),1,Ensemble,57857,60129
12.02,Prix moyen à la consommation des ménages,ISTEEBU,312,Vetements,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,3121,Vêtements de dessus pour hommes,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31211010,Pantalon neuf importé pour homme,1,Unité,19460,20755
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31211020,Pantalon friperie importé pour homme,1,Unité,6329,7275
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31212010,Chemise de ville longues manches neuve pour homme,1,Unité,18880,20319
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31212020,Chemise de ville courtes manches neuve pour homme,1,Unité,16781,19411
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31212030,Chemise de ville longues manches fripperie pour homme,1,Unité,5603,5848
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31212040,Chemise de ville courtes manches fripperie pour homme,1,Unité,4513,5143
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31213010,Costume pour homme,1,Ensemble,110587,146714
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31214010,Tee-shirts fripperie pour homme,1,Unité,3396,3726
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31215010,Capitula (culotte) fripperie pour homme,1,Unité,5034,5800
12.02,Prix moyen à la consommation des ménages,ISTEEBU,3122,Sous-vêtements pour hommes,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31221010,Slip neuf Homme en coton avec ceinture élastique,1,Unité,2587,3171
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31221020,Slip neuf Homme en coton sans ceinture,1,Unité,1999,2612
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31221030,Singlet neuf pour homme,1,Unité,3154,3440
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31221040,Singlet friperie pour homme,1,Unité,2106,2474
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31221050,Chaussettes neuf pour homme,1,paire,1254,1368
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31221060,Chaussettes friperie pour homme,1,paire,927,993
12.02,Prix moyen à la consommation des ménages,ISTEEBU,3123,Vêtements de dessus pour femme,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,31231010,Jupe neuve pour femme,1,Unité,12040,14356
